Post_link,Post_language,Number_of_likes,Number_of_comments,Date_posted,Content_type,Content_format,Number_of_quotes,Number_of_reposts,View_count
https://x.com/NowItsKnown/status/1797771641130521068,English,1,0,"2024-06-03 16:25:00","No text",text,0,0,176
https://x.com/tweekhorrorweak/status/1797770076126605545,English,6,1,"2024-06-03 16:19:00",Announcement,"text, GIF image",0,1,637
https://x.com/DM4HypeGuy/status/1797768089624617313,English,154,8,"2024-06-03 16:11:00","State facts","text, picture",2,37,3938
https://x.com/ErickWeber/status/1797765262168686785,English,42,13,"2024-06-03 16:00:00",Question,"text, picture",0,12,2928
https://x.com/Minions_Fanboy/status/1797762835914883352,English,27,0,"2024-06-03 15:50:00","Express thoughts, fanmade","text, picture",1,7,1762
https://x.com/DM4HypeGuy/status/1797762398859997211,Spanish,18,1,"2024-06-03 15:48:00","No text",picture,1,5,757
https://x.com/Minions_Fanboy/status/1797761289688887545,English,74,1,"2024-06-03 15:44:00","No text",picture,0,12,2325
https://x.com/DM4HypeGuy/status/1797759715906334841,English,26,1,"2024-06-03 15:38:00","State facts","text, picture",0,3,762
https://x.com/DM4HypeGuy/status/1797757016880099630,English,168,0,"2024-06-03 15:27:00","No text",picture,0,25,2604
https://x.com/DM4HypeGuy/status/1797753620269805992,English,178,2,"2024-06-03 15:13:00","Express thoughts","text, video",1,31,3026
https://x.com/RoGameNews/status/1797749161929871471,English,42,2,"2024-06-03 14:56:00",Announcement,"text, picture",1,5,2563
https://x.com/Minions_Fanboy/status/1797728731362119988,English,25,1,"2024-06-03 13:35:00",Announcement,"text, picture",1,5,1330
https://x.com/ESTRELLATOON13/status/1797707544070340881,English,1,0,"2024-06-03 12:10:00","Express thoughts",text,0,0,632
https://x.com/Premieres_IN/status/1797683931036410095,English,1,0,"2024-06-03 10:37:00",Announcement,"text, picture, link",0,1,455
https://x.com/lady_despicable/status/1797640778459791867,English,100,4,"2024-06-03 07:45:00","Express thoughts","text, picture",1,16,2888
https://x.com/confexltd/status/1797629581261775349,English,1,0,"2024-06-03 07:01:00","Commercial Ads","text, picture",0,0,159
https://x.com/EmpireCinemasSA/status/1797625778458255595,Arabic,3,0,"2024-06-03 06:45:00","Express thoughts","text, video",0,0,1400
